From,To,weight
Dennis M. M. Schunselaar,Hajo A. Reijers,1
Dennis M. M. Schunselaar,Henrik Leopold,1
Dennis M. M. Schunselaar,Marzieh Bakhshandeh,1
Hajo A. Reijers,Henrik Leopold,1
Hajo A. Reijers,Marzieh Bakhshandeh,1
Henrik Leopold,Marzieh Bakhshandeh,1
Jiebo Luo,Maya Abtahian,1
Jiebo Luo,Philip Ding,1
Jiebo Luo,Ruihua Song,1
Jiebo Luo,Tianran Hu,3
Jiebo Luo,Xing Xie 0001,1
Maya Abtahian,Philip Ding,1
Maya Abtahian,Ruihua Song,1
Maya Abtahian,Tianran Hu,1
Maya Abtahian,Xing Xie 0001,1
Philip Ding,Ruihua Song,1
Philip Ding,Tianran Hu,1
Philip Ding,Xing Xie 0001,1
Ruihua Song,Tianran Hu,1
Ruihua Song,Xing Xie 0001,1
Tianran Hu,Xing Xie 0001,1
Anya McGuirk,Saba Emrani,1
Anya McGuirk,Wei Xiao,1
Saba Emrani,Wei Xiao,1
Anna Samoilenko,Florian Lemmerich,1
Anna Samoilenko,Katrin Weller,1
Anna Samoilenko,Maria Zens,1
Anna Samoilenko,Markus Strohmaier,1
Florian Lemmerich,Katrin Weller,1
Florian Lemmerich,Maria Zens,1
Florian Lemmerich,Markus Strohmaier,3
Katrin Weller,Maria Zens,1
Katrin Weller,Markus Strohmaier,1
Maria Zens,Markus Strohmaier,1
Jie Wang 0005,Jieping Ye,2
Jie Wang 0005,Lei Chen 0002,1
Jie Wang 0005,Qiang Yang 0001,1
Jie Wang 0005,Weifeng Lv,1
Jie Wang 0005,Yongxin Tong,1
Jie Wang 0005,Yuqiang Chen,1
Jie Wang 0005,Zimu Zhou,1
Jieping Ye,Lei Chen 0002,1
Jieping Ye,Qiang Yang 0001,1
Jieping Ye,Weifeng Lv,1
Jieping Ye,Yongxin Tong,1
Jieping Ye,Yuqiang Chen,1
Jieping Ye,Zimu Zhou,1
Lei Chen 0002,Qiang Yang 0001,1
Lei Chen 0002,Weifeng Lv,1
Lei Chen 0002,Yongxin Tong,1
Lei Chen 0002,Yuqiang Chen,1
Lei Chen 0002,Zimu Zhou,1
Qiang Yang 0001,Weifeng Lv,1
Qiang Yang 0001,Yongxin Tong,1
Qiang Yang 0001,Yuqiang Chen,1
Qiang Yang 0001,Zimu Zhou,1
Weifeng Lv,Yongxin Tong,1
Weifeng Lv,Yuqiang Chen,1
Weifeng Lv,Zimu Zhou,1
Yongxin Tong,Yuqiang Chen,1
Yongxin Tong,Zimu Zhou,1
Yuqiang Chen,Zimu Zhou,1
Christian Bauckhage,César Ojeda,1
Christian Bauckhage,Kostadin Cvejoski,1
Christian Bauckhage,Rafet Sifa,1
César Ojeda,Kostadin Cvejoski,1
César Ojeda,Rafet Sifa,1
Kostadin Cvejoski,Rafet Sifa,1
Chengkai Li,Fatma Arslan,1
Chengkai Li,Mark Tremayne,1
Chengkai Li,Naeemul Hassan,1
Fatma Arslan,Mark Tremayne,1
Fatma Arslan,Naeemul Hassan,1
Mark Tremayne,Naeemul Hassan,1
Ashlesh Sharma,Lakshminarayanan Subramanian,1
Ashlesh Sharma,Vidyuth Srinivasan,1
Ashlesh Sharma,Vishal Kanchan,1
Lakshminarayanan Subramanian,Vidyuth Srinivasan,1
Lakshminarayanan Subramanian,Vishal Kanchan,1
Vidyuth Srinivasan,Vishal Kanchan,1
Aleksandar Bojchevski,Stephan Günnemann,1
Aleksandar Bojchevski,Yves Matkovic,1
Stephan Günnemann,Yves Matkovic,1
Huan Liu 0001,Liang Wu 0006,3
Huan Liu 0001,Xia Hu,4
Liang Wu 0006,Xia Hu,3
Guojun Gan,Jimmy Xiangji Huang,1
Adam Barker,Blesson Varghese,1
Adam Barker,Sheriffo Ceesay,1
Blesson Varghese,Sheriffo Ceesay,1
A. P. Giri,Abhijin Adiga,1
A. P. Giri,Achla Marathe,1
A. P. Giri,Bowen Shi,1
A. P. Giri,G. Norton,1
A. P. Giri,K. S. Nitin,1
A. P. Giri,Lalit P. Sah,1
A. P. Giri,Luke A. Colavito,1
A. P. Giri,Madhav Marathe,1
A. P. Giri,R. Asokan,1
A. P. Giri,Rangaswamy Muniappan,1
A. P. Giri,Sichao Wu,1
A. P. Giri,Srinivasan Venkatramanan,1
A. P. Giri,Stephen G. Eubank,1
A. P. Giri,V. Sridhar,1
Abhijin Adiga,Achla Marathe,1
Abhijin Adiga,Bowen Shi,1
Abhijin Adiga,G. Norton,1
Abhijin Adiga,K. S. Nitin,1
Abhijin Adiga,Lalit P. Sah,1
Abhijin Adiga,Luke A. Colavito,1
Abhijin Adiga,Madhav Marathe,1
Abhijin Adiga,R. Asokan,1
Abhijin Adiga,Rangaswamy Muniappan,1
Abhijin Adiga,Sichao Wu,1
Abhijin Adiga,Srinivasan Venkatramanan,1
Abhijin Adiga,Stephen G. Eubank,1
Abhijin Adiga,V. Sridhar,1
Achla Marathe,Bowen Shi,1
Achla Marathe,G. Norton,1
Achla Marathe,K. S. Nitin,1
Achla Marathe,Lalit P. Sah,1
Achla Marathe,Luke A. Colavito,1
Achla Marathe,Madhav Marathe,1
Achla Marathe,R. Asokan,1
Achla Marathe,Rangaswamy Muniappan,1
Achla Marathe,Sichao Wu,1
Achla Marathe,Srinivasan Venkatramanan,1
Achla Marathe,Stephen G. Eubank,1
Achla Marathe,V. Sridhar,1
Bowen Shi,G. Norton,1
Bowen Shi,K. S. Nitin,1
Bowen Shi,Lalit P. Sah,1
Bowen Shi,Luke A. Colavito,1
Bowen Shi,Madhav Marathe,1
Bowen Shi,R. Asokan,1
Bowen Shi,Rangaswamy Muniappan,1
Bowen Shi,Sichao Wu,1
